2019/12/04 13:43:11: Initializing tgradientcmd
2019/12/04 13:43:11: Establishing connection to instrument
2019/12/04 13:43:13: T-Gradient ready at COM7, response: Thermostat module ready. BMP180 init success
2019/12/04 13:43:13: Push B
2019/12/04 13:43:13: Push right
2019/12/04 13:43:14: Push up
2019/12/04 13:43:14: Push up
2019/12/04 13:43:15: Push up
2019/12/04 13:43:15: Push up
2019/12/04 13:43:16: Push up
2019/12/04 13:43:16: Push up
2019/12/04 13:43:17: Push up
2019/12/04 13:43:17: Push up
2019/12/04 13:43:18: Push up
2019/12/04 13:43:18: Push up
2019/12/04 13:43:19: Push up
2019/12/04 13:43:19: Push D
2019/12/04 13:43:20: Push A
2019/12/04 13:43:20: Push down
2019/12/04 13:43:21: Push down
2019/12/04 13:43:21: Push D
2019/12/04 13:43:22: Push D
